url,manufacturer,model,color
https://i.ebayimg.com/00/s/MTA4MFgxNDQw/z/SyEAAOSwU3Na0TxH/$_57.JPG,audi,audi a1,black
https://i.ebayimg.com/00/s/NjMyWDEwMjQ=/z/k~gAAOSwPK1ZV~Kt/$_86.JPG,audi,audi a1,black
http://cafefiles.naver.net/20150402_255/ninekaze_1427940775577OC3ac_JPEG/%B8%C5%B7%C2%C0%FB%C0%CE_%BA%F1%C1%D6%BE%F3_%BE%C6%BF%EC%B5%F0_A1__(3).jpg,audi,audi a1,white
http://blogfiles5.naver.net/20160716_75/279far_146867144269447zEM_JPEG/%BB%E7%C1%F8_684.jpg,audi,audi a1,blue
http://blogfiles5.naver.net/20130303_68/303woo_1362321827956gU9BA_JPEG/%BE%C6%BF%EC%B5%F0_A1_%C4%E2%C6%AE%B7%CE._Audi_A1_quattro_2013._(4).jpg,audi,audi a1,white
http://blogfiles5.naver.net/data25/2008/10/2/282/%BE%C6%BF%EC%B5%F0_lifebarnaba.jpg,audi,audi a1,gray
http://blogfiles5.naver.net/20100225_11/bobae_dream_1267064960198AxrVn_jpg/%BE%C6%BF%EC%B5%F0a1_bobae_dream.jpg,audi,audi a1,red
http://blogfiles9.naver.net/20100914_244/ppband7_1284424358085vPzOc_JPEG/%C7%D8%BF%DCCF_Audi_A1_'The_next_big_Audi'__45s._2010.flv_000036625.jpg,audi,audi a1,red
http://blogfiles9.naver.net/20100914_98/ppband7_1284424338102xLcxo_JPEG/%C7%D8%BF%DCCF_Audi_A1_'The_next_big_Audi'__45s._2010.flv_000042083.jpg,audi,audi a1,red
https://images.fahrzeuge.live/1/Audi-A1-52038/0.jpg,audi,audi a1,blue
https://images.fahrzeuge.live/1/Audi-A1-49674/0.jpg,audi,audi a1,red
https://autofilou.at/wp-content/uploads/2015/07/005-2015-Audi-A1-Sportback-1.4-TDI-ultra-sport-facelift-test-drive-white-wei25C3259F-autofilou-1.jpg,audi,audi a1,white
http://www.blogcdn.com/www.autoblog.com/media/2008/10/01_audi_a1_sportback_live.jpg,audi,audi a1,gray
http://blogfiles5.naver.net/20110611_166/ksg460_1307780131566lKC8Y_JPEG/02-audi-a1-clubsport-quattro-live.jpg,audi,audi a1,white
http://2.bp.blogspot.com/-KEmMDNTMgYU/TsdaINvy6RI/AAAAAAAABBg/-hfLv8XeLn0/s1600/03-audi-a1-sportback-five-door.jpg,audi,audi a1,red
https://secure.pic.autoscout24.net/images-big/724/243/0344243724001.jpg?c02ecb5cf5236898a9d26114c64541d3,audi,audi a1,white
https://secure.pic.autoscout24.net/images-big/047/270/0344270047001.jpg?90c9b9bfbefc4d1003fbce57590efdd9,audi,audi a1,purple
http://img.turbo.fr/04835884-photo-nouveaute-audi-a1-quattro-la-plus-mechante-de-toutes-les-petites.jpg,audi,audi a1,white
https://asphaltfrage.files.wordpress.com/2011/06/04audi-a1-clubsport-quattro.jpg,audi,audi a1,white
http://blogfiles1.naver.net/20110601_67/leemh2900_1306936301984mDT3K_JPEG/05audi-a1-clubsport-quattro.jpg,audi,audi a1,white
http://3.bp.blogspot.com/-7zHtS1bnBXw/TsdaKk1UjdI/AAAAAAAABBo/hTgEYxyGx88/s1600/07-audi-a1-sportback-five-door.jpg,audi,audi a1,red
http://blogfiles1.naver.net/20111226_73/judocsj_1324875821929kze5d_JPEG/08-audi-a1-quattro.jpg,audi,audi a1,white
http://blogfiles13.naver.net/20120128_132/brandon0819_1327718973467rG5fy_JPEG/09-2012-audi-a1-sportback-fd.jpg,audi,audi a1,orange
http://justcarreview.com/wp-content/uploads/2018/02/1.jpg,audi,audi a1,purple
https://farm3.staticflickr.com/2854/10157062384_7d2ebb20db_o.jpg,audi,audi a1,white
https://farm3.staticflickr.com/2869/10925797606_4be99cbfb4_b.jpg,audi,audi a1,white
https://img.autoplus.fr/news/2015/03/27/1492404/1200|800|2d1bc0e9851076fb9bf5b61c.jpg,audi,audi a1,purple
https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Audi_A1_Quattro_MTM_(8683157608).jpg/1280px-Audi_A1_Quattro_MTM_(8683157608).jpg,audi,audi a1,white
https://www.top-autowelt.de/var/galerie/13846.jpg,audi,audi a1,white
https://farm8.staticflickr.com/7435/13920945429_bde3d72a11_o.jpg,audi,audi a1,white
http://www.blogcdn.com/www.autoblog.com/media/2011/11/14-audi-a1-sportback.jpg,audi,audi a1,orange
http://imgnews.naver.com/image/5242/2014/07/08/1404782157_thumb_59_20140708191604.jpg,audi,audi a1,red
https://farm4.staticflickr.com/3866/14458101110_e44b5eb609_b.jpg,audi,audi a1,silver
https://farm4.staticflickr.com/3846/14560415658_f02c1802b5_b.jpg,audi,audi a1,black
https://farm6.staticflickr.com/5563/14697869750_88f7b6f524_b.jpg,audi,audi a1,white
https://farm4.staticflickr.com/3843/14718147998_dd5d20b051_b.jpg,audi,audi a1,white
https://farm4.staticflickr.com/3880/14869076487_13c19c052a_b.jpg,audi,audi a1,black
https://acs2.blob.core.windows.net/imgcatalogo/xl/148940_20110712092643860.jpg,audi,audi a1,red
https://farm6.staticflickr.com/5611/15145246004_a4b89e19ac_o.jpg,audi,audi a1,red
https://farm3.staticflickr.com/2943/15356841151_592e244840_o.jpg,audi,audi a1,white
https://farm9.staticflickr.com/8629/16024633667_efbcd75a5b_o.jpg,audi,audi a1,white
https://farm8.staticflickr.com/7463/16201806152_c791a37af2_o.jpg,audi,audi a1,white
https://farm8.staticflickr.com/7509/16209649332_45dd98cbbe_o.jpg,audi,audi a1,white
https://farm8.staticflickr.com/7532/16299451786_c56f9f22ce_o.jpg,audi,audi a1,white
https://farm8.staticflickr.com/7653/16334181514_e6ba4158ba_o.jpg,audi,audi a1,white
http://cafefiles.naver.net/20140521_153/pbsipk8_1400623605363LdnyX_JPEG/1686866341.jpg,audi,audi a1,yellow
https://images.audaris.eu/1841/800/1841_3085-47091_1_1nh3.jpg,audi,audi a1,black
https://www.audi.com.au/content/dam/nemo/models/a1/a1-sportback/my-2017/1920x1080-gallery/1900x1080_AA1_SB_141005.jpg,audi,audi a1,white
http://www.audi.com.mx/content/dam/nemo/models/a1/a1-sportback/my-2017/1920x1080-gallery/1920x1080_AA1_141007.jpg,audi,audi a1,white
https://www.audi.de/content/dam/nemo/models/a1/a1-sportback/my-2018/1920x1080-gallery/1920x1080_AOZ_A1_151005_1.jpg,audi,audi a1,red
https://www.hdwallpapers.in/walls/2008_audi_a1_project_quattro-wide.jpg,audi,audi a1,red
https://s1.cdn.autoevolution.com/images/news/gallery/2010-paris-auto-show-audi-a1-14-tfsi-s-line_5.jpg,audi,audi a1,white
http://cafefiles.naver.net/20091205_45/tjf6363_1260002491812UAlli_jpg/2011%BE%C6%BF%EC%B5%F0a1-3%B5%B5%BE%EE1_tjf6363.jpg,audi,audi a1,red
http://1.bp.blogspot.com/_FoXyvaPSnVk/S3H8bbhwhZI/AAAAAAACf04/h9T-vACQx90/s1600/2011-Audi-A1-1.JPG,audi,audi a1,red
https://pictures.topspeed.com/IMG/crop/200801/2011-audi-a1-convertible_800x0w.jpg,audi,audi a1,gray
http://blogfiles14.naver.net/20110604_170/karstart_1307136740439EqDeP_JPEG/2011_audi_a1_f34_10-ge-as_1_717.jpg,audi,audi a1,red
http://cafefiles.naver.net/20100210_41/offerkiss_1265795306151K21CV_jpg/2011audia1_05_offerkiss.jpg,audi,audi a1,red
